X,Y,mes,dia,FFMC,DMC,DC,I+A1:A190SI,temperatura,RH,viento,lluvia,zona
7,5,mar,fri,86,26,94,5,8,51,6,0,0
7,4,oct,tue,90,35,669,6,18,33,0,0,0
7,4,oct,sat,90,43,686,6,14,33,1,0,0
8,6,mar,fri,917,33,77,9,8,97,4,0,0
8,6,mar,sun,89,51,102,9,11,99,1,0,0
8,6,aug,sun,92,85,488,14,222,29,5,0,0
8,6,aug,mon,92,88,495,8,24,27,3,0,0
8,6,aug,mon,91,145,608,10,8,86,2,0,0
8,6,sep,tue,91,129,692,7,13,63,5,0,0
7,5,sep,sat,92,88,698,7,22,40,4,0,0
7,5,sep,sat,92,88,698,7,17,51,7,0,0
7,5,sep,sat,92,73,713,22,19,38,4,0,0
6,5,aug,fri,63,70,665,0,17,72,6,0,0
6,5,sep,mon,90,126,686,7,21,42,2,0,0
6,5,sep,wed,92,133,699,9,26,21,4,0,0
6,5,sep,fri,93,141,713,13,229,44,54,0,0
5,5,mar,sat,917,358,808,78,151,27,54,0,0
8,5,oct,mon,849,328,6642,3,167,47,49,0,0
6,4,mar,wed,892,279,708,63,159,35,4,0,0
6,4,apr,sat,863,274,971,51,93,44,45,0,0
6,4,sep,tue,91,1295,6926,7,183,40,27,0,0
5,4,sep,mon,918,785,7243,92,191,38,27,0,0
7,4,jun,sun,943,963,200,561,21,44,45,0,0
7,4,aug,sat,902,1109,5374,62,195,43,58,0,0
7,4,aug,sat,935,1394,5942,203,237,32,58,0,0
7,4,aug,sun,914,1424,6014,106,163,60,54,0,0
7,4,sep,fri,924,1179,668,122,19,34,58,0,0
7,4,sep,mon,909,1265,6865,7,194,48,13,0,0
6,3,sep,sat,934,1454,7214,81,302,24,27,0,0
6,3,sep,sun,935,1493,7286,81,228,39,36,0,0
6,3,sep,fri,943,851,6923,159,254,24,36,0,0
6,3,sep,mon,886,918,7099,71,112,78,76,0,0
6,3,sep,fri,886,697,7068,58,206,37,18,0,0
6,3,sep,sun,917,756,7183,78,177,39,36,0,0
6,3,sep,mon,918,785,7243,92,212,32,27,0,0
6,3,sep,tue,903,807,7302,63,182,62,45,0,0
6,3,oct,tue,906,354,6691,67,217,24,45,0,0
7,4,oct,fri,90,415,6826,87,113,60,54,0,0
7,3,oct,sat,906,437,6869,67,178,27,4,0,0
4,4,mar,tue,881,257,676,38,141,43,27,0,0
4,4,jul,tue,795,606,3667,15,233,37,31,0,0
4,4,aug,sat,902,969,6242,89,184,42,67,0,0
4,4,aug,tue,948,1083,6471,17,166,54,54,0,0
4,4,sep,sat,925,88,6986,71,196,48,27,0,0
4,4,sep,wed,901,829,7357,62,129,74,49,0,0
5,6,sep,wed,943,851,6923,159,259,24,4,0,0
5,6,sep,mon,909,1265,6865,7,147,70,36,0,0
6,6,jul,mon,942,623,4429,11,23,36,31,0,0
4,4,mar,mon,872,239,647,41,118,35,18,0,0
4,4,mar,mon,876,522,1038,5,11,46,58,0,0
4,4,sep,thu,929,137,7064,92,208,17,13,0,0
4,3,aug,sun,902,996,6312,63,215,34,22,0,0
4,3,aug,wed,921,1112,6541,96,204,42,49,0,0
4,3,aug,wed,921,1112,6541,96,204,42,49,0,0
4,3,aug,thu,917,1143,6613,63,176,45,36,0,0
4,3,sep,thu,929,137,7064,92,277,24,22,0,0
4,3,sep,tue,903,807,7302,63,178,63,49,0,0
4,3,oct,sun,926,465,6918,88,138,50,27,0,0
2,2,feb,mon,84,93,34,21,139,40,54,0,0
